User_ID,Session_ID,Device_ID,App_Version,Event_Name,Event_Time,Pickup_Location,Dropoff_Location,Ride_Distance_km,Driver_Rating,Fare_Amount
U0001,S40802,D5582,1.0,Ride Start,2024-09-22 21:47:02,Mumbai,Amsterdam,28.08,4.9,39.07
U0002,S93536,D9112,1.2,Booking,2024-09-05 04:57:25,London,San Francisco,42.25,4.2,62.01
U0003,S28978,D1318,1.1,Cancellation,2024-09-06 23:37:31,Berlin,San Francisco,28.32,1.4,75.9
U0004,S61352,D4497,2.0,Ride Start,2024-09-09 06:28:34,Mumbai,Amsterdam,18.63,4.7,35.84
U0005,S20525,D7322,1.1,Payment,2024-09-05 18:07:44,Los Angeles,Delhi,44.04,1.8,10.52
U0006,S31817,D3068,1.1,Ride Start,2024-09-02 12:28:51,Los Angeles,Paris,48.83,2.7,46.78
U0007,S30300,D9496,1.1,Ride End,2024-09-08 00:37:26,New York,Amsterdam,48.37,4.2,44.15
U0008,S47861,D8075,1.1,Payment,2024-09-15 16:17:17,Mumbai,Amsterdam,15.03,4.7,96.08
U0009,S24666,D7661,1.1,Ride End,2024-09-10 12:07:23,New York,Delhi,47.67,3.3,63.12
U0010,S33745,D7618,2.0,Booking,2024-09-06 14:21:42,London,Delhi,40.83,3.3,47.33
U0011,S45986,D2435,1.1,Ride Start,2024-09-01 09:09:27,Los Angeles,Amsterdam,23.19,4.5,62.27
U0012,S88308,D4020,1.1,Cancellation,2024-09-19 01:10:22,Berlin,Delhi,16.92,1.5,84.76
U0013,S54644,D7461,1.2,Ride Start,2024-09-25 18:47:25,New York,San Francisco,44.76,4.8,22.51
U0014,S13895,D3384,2.0,Ride Start,2024-09-12 09:29:22,Berlin,Chicago,27.6,1.7,66.33
U0015,S87401,D3725,1.1,Ride End,2024-09-10 01:18:03,Los Angeles,Amsterdam,12.92,5.0,93.36
U0016,S12395,D1114,1.0,Ride End,2024-09-13 15:06:02,Los Angeles,San Francisco,11.27,4.0,49.28
U0017,S24231,D4187,2.0,Payment,2024-09-25 05:30:02,Los Angeles,San Francisco,12.91,2.2,82.38
U0018,S10986,D5988,2.0,Ride End,2024-09-09 03:02:02,London,Amsterdam,39.97,2.0,37.58
U0019,S94426,D6492,1.2,Ride End,2024-09-24 09:29:32,Los Angeles,Amsterdam,16.46,1.1,65.23
U0020,S25003,D2647,2.0,Cancellation,2024-09-22 01:39:09,Los Angeles,Paris,45.77,1.7,62.6
U0021,S63190,D8176,1.2,Payment,2024-09-22 04:43:11,New York,Paris,39.68,1.8,26.89
U0022,S38084,D9075,1.0,Payment,2024-09-01 04:33:34,Berlin,Delhi,42.29,3.6,77.84
U0023,S32861,D3700,1.2,Ride End,2024-09-25 02:35:38,Los Angeles,Chicago,49.22,4.9,39.38
U0024,S32247,D8912,2.0,Ride End,2024-09-02 18:03:19,New York,San Francisco,8.6,4.9,27.51
U0025,S19971,D9801,1.2,Booking,2024-09-07 04:53:26,New York,Delhi,38.95,3.4,79.11
U0026,S86708,D4017,1.1,Ride Start,2024-09-06 21:30:32,Berlin,Delhi,35.23,3.1,89.84
U0027,S16227,D2217,1.0,Ride Start,2024-09-01 05:50:32,Los Angeles,Chicago,35.14,1.1,77.18
U0028,S96752,D5316,1.2,Booking,2024-09-13 23:01:52,London,Delhi,10.48,4.4,49.48
U0029,S98002,D3878,1.0,Booking,2024-09-12 20:10:35,Berlin,Delhi,5.18,2.2,58.85
U0030,S64062,D8135,1.1,Cancellation,2024-09-14 11:57:29,New York,Paris,37.44,4.5,30.38
U0031,S44762,D2149,1.2,Ride End,2024-09-25 23:20:37,Mumbai,Chicago,6.68,2.2,62.52
U0032,S98436,D1290,1.2,Booking,2024-09-19 23:50:52,New York,Chicago,14.4,1.3,69.19
U0033,S35427,D2668,1.2,Ride End,2024-09-13 17:40:10,Mumbai,Amsterdam,43.9,1.6,19.88
U0034,S56151,D9873,1.1,Ride End,2024-09-23 15:13:34,Los Angeles,Chicago,35.89,4.0,79.04
U0035,S12550,D5897,1.0,Booking,2024-09-13 07:44:04,Los Angeles,Delhi,18.6,2.6,27.07
U0036,S40863,D5982,1.0,Cancellation,2024-09-14 16:30:58,Berlin,Chicago,45.8,4.1,25.53
U0037,S66587,D3101,1.1,Ride End,2024-09-09 06:17:18,New York,San Francisco,21.94,3.3,60.83
U0038,S30523,D1490,1.1,Booking,2024-09-13 23:31:05,London,Chicago,39.27,4.0,71.59
U0039,S29465,D8710,1.0,Payment,2024-09-18 20:39:37,Mumbai,Delhi,49.76,2.2,74.72
U0040,S55383,D5147,1.0,Booking,2024-09-17 23:15:06,Los Angeles,Delhi,6.49,4.7,25.0
U0041,S34410,D3456,1.2,Cancellation,2024-09-15 14:47:04,Mumbai,Paris,18.66,3.6,72.92
U0042,S42588,D7969,1.0,Booking,2024-09-12 01:57:46,Los Angeles,Chicago,37.25,5.0,29.9
U0043,S40635,D8261,1.1,Ride Start,2024-09-11 23:44:47,New York,Delhi,49.84,3.2,22.02
U0044,S76806,D7310,2.0,Payment,2024-09-05 03:12:55,London,San Francisco,31.77,1.4,11.69
U0045,S55968,D3261,1.1,Ride End,2024-09-21 04:46:53,Mumbai,Paris,14.32,3.1,21.33
U0046,S68730,D3617,1.2,Ride Start,2024-09-12 02:03:34,Los Angeles,Paris,32.34,2.3,89.29
U0047,S42186,D1370,1.2,Cancellation,2024-09-10 19:15:04,Los Angeles,San Francisco,18.21,3.5,62.25
U0048,S90036,D6564,1.0,Ride End,2024-09-22 22:30:43,Berlin,Chicago,26.05,1.4,16.53
U0049,S58747,D2983,2.0,Payment,2024-09-14 20:29:42,New York,San Francisco,41.27,2.8,37.08
U0050,S81934,D4852,1.1,Cancellation,2024-09-17 04:45:33,New York,Chicago,41.96,1.7,62.38
U0051,S98073,D4128,1.0,Booking,2024-09-05 16:43:26,Berlin,Paris,36.99,1.8,88.67
U0052,S78086,D4813,1.0,Payment,2024-09-19 03:17:45,Berlin,Chicago,20.12,4.9,57.72
U0053,S56532,D6602,2.0,Ride End,2024-09-12 05:00:06,Mumbai,San Francisco,42.14,3.7,11.46
U0054,S59638,D5585,1.1,Cancellation,2024-09-04 03:18:42,Berlin,Chicago,38.59,1.3,72.49
U0055,S19081,D2272,1.0,Ride Start,2024-09-10 00:45:12,New York,San Francisco,43.7,4.2,60.57
U0056,S75719,D6872,1.0,Booking,2024-09-19 19:46:49,Mumbai,Delhi,12.71,4.7,87.99
U0057,S55679,D6882,2.0,Payment,2024-09-24 03:43:45,Mumbai,Paris,13.81,4.4,85.65
U0058,S52315,D2899,2.0,Ride End,2024-09-02 22:57:50,New York,Chicago,8.45,2.2,20.43
U0059,S42521,D5852,2.0,Booking,2024-09-11 12:20:06,Mumbai,Amsterdam,35.66,4.2,68.37
U0060,S34701,D5181,1.2,Ride End,2024-09-07 22:29:15,London,Paris,46.42,1.7,74.32
U0061,S90974,D3632,1.2,Booking,2024-09-19 14:51:43,Berlin,Amsterdam,5.51,1.6,53.22
U0062,S49564,D7429,1.1,Booking,2024-09-20 16:25:33,Mumbai,Paris,29.3,4.2,15.46
U0063,S90860,D4270,2.0,Booking,2024-09-08 10:21:18,Los Angeles,Chicago,13.79,2.2,61.55
U0064,S13276,D4265,1.1,Cancellation,2024-09-03 09:17:34,London,Chicago,36.23,1.1,47.24
U0065,S74954,D6549,2.0,Cancellation,2024-09-06 04:19:16,Berlin,Amsterdam,22.65,2.4,57.15
U0066,S54759,D6524,1.2,Cancellation,2024-09-20 10:23:53,London,Chicago,48.49,1.8,11.06
U0067,S91485,D5004,1.1,Payment,2024-09-11 18:06:35,London,San Francisco,37.65,2.1,17.46
U0068,S47463,D9900,1.0,Payment,2024-09-19 05:28:51,London,Delhi,16.6,3.8,30.39
U0069,S36665,D7972,1.1,Ride End,2024-09-10 04:18:43,New York,Amsterdam,42.04,1.4,11.56
U0070,S15771,D4413,1.1,Ride Start,2024-09-20 19:55:49,London,Paris,12.06,3.3,35.5
U0071,S53368,D1636,1.0,Ride End,2024-09-14 04:35:00,Los Angeles,San Francisco,14.02,3.5,67.15
U0072,S79902,D4409,1.2,Cancellation,2024-09-21 22:51:12,Berlin,Delhi,40.8,1.4,67.59
U0073,S86489,D4275,1.1,Booking,2024-09-07 16:19:19,Mumbai,Amsterdam,21.84,1.7,25.91
U0074,S10468,D3574,2.0,Booking,2024-09-08 11:27:37,Los Angeles,Paris,34.28,1.3,64.8
U0075,S44398,D4948,1.2,Payment,2024-09-19 15:18:07,London,Delhi,29.3,1.2,62.07
U0076,S44623,D4274,1.1,Ride Start,2024-09-16 05:17:25,Los Angeles,Paris,23.35,2.5,98.76
U0077,S75641,D4393,1.0,Payment,2024-09-23 00:29:00,New York,Amsterdam,45.85,1.8,57.41
U0078,S48051,D4954,2.0,Ride Start,2024-09-07 23:30:33,Mumbai,Delhi,25.12,3.2,20.13
U0079,S83760,D5765,2.0,Payment,2024-09-12 21:29:38,Los Angeles,San Francisco,22.56,2.3,74.15
U0080,S51263,D2212,1.1,Ride Start,2024-09-03 14:31:54,Los Angeles,Chicago,8.76,4.2,84.61
U0081,S62122,D7772,1.0,Cancellation,2024-09-18 04:01:42,Berlin,Paris,26.23,1.3,71.03
